Dictionary,Outcome,Aggregation,Recession_Definition,Model_Code,Model,N_Quarters,R_squared,Durbin_Watson,Variable,Coefficient,HAC_SE,HAC_p_value,CI_low,CI_high
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Decade_1960s,-0.485348,0.104479,5e-06,-0.691092,-0.279603
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Decade_1970s,-0.883236,0.076424,0.0,-1.033732,-0.732739
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Decade_1980s,-0.536003,0.103832,0.0,-0.740473,-0.331532
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Decade_1990s,-0.400248,0.092114,2e-05,-0.581642,-0.218853
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Decade_2000s,-0.024291,0.113798,0.831144,-0.248387,0.199806
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Decade_2010s,0.19558,0.094228,0.038925,0.010023,0.381137
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Post1973,0.262237,0.057638,8e-06,0.148734,0.37574
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Recession_x_Post1973,-0.076569,0.095467,0.423268,-0.264565,0.111428
Harvard,Neg,Average of ratios,Majority of months (42 quarters),A,A. Recession only,268,7.4e-05,1.034057,const,0.494213,0.009109,0.0,0.476278,0.512149
Harvard,Neg,Average of ratios,Majority of months (42 quarters),A,A. Recession only,268,7.4e-05,1.034057,Recession,0.002109,0.018669,0.910156,-0.03465,0.038867
Harvard,Neg,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.060581,1.099566,const,0.533029,0.020757,0.0,0.49216,0.573899
Harvard,Neg,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.060581,1.099566,Recession,-0.00306,0.016381,0.851968,-0.035313,0.029193
Harvard,Neg,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.060581,1.099566,Time_Trend,-0.000285,0.00014,0.04256,-0.00056,-1e-05
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,const,0.701783,0.012377,0.0,0.67741,0.726156
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Recession,0.001045,0.008891,0.906524,-0.016462,0.018552
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Decade_1950s,-0.126023,0.014099,0.0,-0.153785,-0.09826
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Decade_1960s,-0.221898,0.016691,0.0,-0.254765,-0.189032
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Decade_1970s,-0.246097,0.015589,0.0,-0.276794,-0.215399
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Decade_1980s,-0.273526,0.013027,0.0,-0.299177,-0.247875
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Decade_1990s,-0.239454,0.015664,0.0,-0.2703,-0.208609
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Decade_2000s,-0.212009,0.015411,0.0,-0.242356,-0.181662
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Decade_2010s,-0.141186,0.026083,0.0,-0.192548,-0.089823
Harvard,Neg,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.118028,1.167908,const,0.523368,0.021176,0.0,0.481672,0.565064
Harvard,Neg,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.118028,1.167908,Recession,0.021437,0.035329,0.544523,-0.048127,0.091001
Harvard,Neg,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.118028,1.167908,Time_Trend,0.000119,0.00022,0.588232,-0.000314,0.000552
Harvard,Neg,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.118028,1.167908,Post1973,-0.071768,0.030599,0.019746,-0.132018,-0.011519
Harvard,Neg,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.118028,1.167908,Recession_x_Post1973,-0.033357,0.037757,0.3778,-0.107702,0.040988
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,const,0.70058,0.013091,0.0,0.674801,0.72636
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Recession,0.004252,0.013919,0.760274,-0.023158,0.031661
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Decade_1950s,-0.125301,0.014047,0.0,-0.152963,-0.097639
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Decade_1960s,-0.221017,0.017292,0.0,-0.255068,-0.186965
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Decade_1970s,-0.248852,0.014771,0.0,-0.27794,-0.219765
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Decade_1980s,-0.277481,0.020569,0.0,-0.317986,-0.236976
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Decade_1990s,-0.243638,0.022213,0.0,-0.287381,-0.199895
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Decade_2000s,-0.215918,0.022211,0.0,-0.259657,-0.17218
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Decade_2010s,-0.145507,0.030432,3e-06,-0.205435,-0.085579
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Post1973,0.005524,0.016599,0.739587,-0.027164,0.038212
Harvard,Neg,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460543,1.936426,Recession_x_Post1973,-0.005038,0.017918,0.778822,-0.040322,0.030247
Harvard,Pos,Average of ratios,Any month (48 quarters),A,A. Recession only,268,0.000571,0.194525,const,2.281014,0.051898,0.0,2.178831,2.383198
Harvard,Pos,Average of ratios,Any month (48 quarters),A,A. Recession only,268,0.000571,0.194525,Recession,-0.02421,0.11287,0.830326,-0.246442,0.198022
Harvard,Pos,Average of ratios,Any month (48 quarters),B,B. + linear time trend,268,0.29197,0.269049,const,1.901413,0.10283,0.0,1.698945,2.103882
Harvard,Pos,Average of ratios,Any month (48 quarters),B,B. + linear time trend,268,0.29197,0.269049,Recession,0.053778,0.101228,0.595685,-0.145535,0.253091
Harvard,Pos,Average of ratios,Any month (48 quarters),B,B. + linear time trend,268,0.29197,0.269049,Time_Trend,0.002739,0.000596,7e-06,0.001566,0.003912
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,const,2.482088,0.081461,0.0,2.321677,2.642498
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,Recession,0.018697,0.052781,0.723447,-0.085238,0.122632
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,Decade_1950s,-0.181629,0.0886,0.041372,-0.356097,-0.007161
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,Decade_1960s,-0.494902,0.110448,1.1e-05,-0.712393,-0.277411
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,Decade_1970s,-0.712795,0.088792,0.0,-0.887641,-0.537949
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,Decade_1980s,-0.293928,0.096612,0.002589,-0.484172,-0.103683
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,Decade_1990s,-0.154602,0.084002,0.066846,-0.320015,0.010812
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,Decade_2000s,0.217631,0.112065,0.05322,-0.003043,0.438306
Harvard,Pos,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.739923,0.793747,Decade_2010s,0.443088,0.086786,1e-06,0.272192,0.613985
Harvard,Pos,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.351517,0.294299,const,1.849237,0.103898,0.0,1.64466,2.053814
Harvard,Pos,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.351517,0.294299,Recession,0.190469,0.177439,0.28406,-0.158913,0.539852
Harvard,Pos,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.351517,0.294299,Time_Trend,0.004454,0.001002,1.3e-05,0.002481,0.006427
Harvard,Pos,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.351517,0.294299,Post1973,-0.289536,0.1731,0.095586,-0.630375,0.051303
Harvard,Pos,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.351517,0.294299,Recession_x_Post1973,-0.196534,0.196468,0.318068,-0.583384,0.190317
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,const,2.439066,0.074462,0.0,2.292432,2.5857
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Recession,0.087533,0.058583,0.136357,-0.027831,0.202896
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Decade_1950s,-0.152374,0.083532,0.069292,-0.316868,0.01212
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Decade_1960s,-0.458763,0.100221,7e-06,-0.656122,-0.261404
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Decade_1970s,-0.86064,0.074815,0.0,-1.007968,-0.713313
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Decade_1980s,-0.513359,0.101791,1e-06,-0.713809,-0.312908
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Decade_1990s,-0.379358,0.091168,4.3e-05,-0.55889,-0.199825
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Decade_2000s,-0.0018,0.113654,0.987378,-0.225612,0.222012
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Decade_2010s,0.21567,0.093444,0.021793,0.031656,0.399684
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Post1973,0.270441,0.059848,9e-06,0.152586,0.388295
Harvard,Pos,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.754238,0.835894,Recession_x_Post1973,-0.104335,0.094762,0.271917,-0.290944,0.082274
Harvard,Neg,Average of ratios,Any month (48 quarters),A,A. Recession only,268,0.002369,1.040686,const,0.492516,0.008839,0.0,0.475112,0.509919
Harvard,Neg,Average of ratios,Any month (48 quarters),A,A. Recession only,268,0.002369,1.040686,Recession,0.011324,0.02207,0.60832,-0.032131,0.054778
Harvard,Neg,Average of ratios,Any month (48 quarters),B,B. + linear time trend,268,0.060626,1.101334,const,0.531482,0.020109,0.0,0.491888,0.571076
Harvard,Neg,Average of ratios,Any month (48 quarters),B,B. + linear time trend,268,0.060626,1.101334,Recession,0.003318,0.018603,0.858567,-0.033311,0.039947
Harvard,Neg,Average of ratios,Any month (48 quarters),B,B. + linear time trend,268,0.060626,1.101334,Time_Trend,-0.000281,0.000137,0.041639,-0.000552,-1.1e-05
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,const,0.703328,0.013277,0.0,0.677182,0.729473
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,Recession,-0.001844,0.009266,0.84237,-0.02009,0.016401
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,Decade_1950s,-0.127042,0.014256,0.0,-0.155114,-0.09897
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,Decade_1960s,-0.223154,0.017715,0.0,-0.258038,-0.18827
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,Decade_1970s,-0.246945,0.015854,0.0,-0.278164,-0.215726
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,Decade_1980s,-0.274447,0.013622,0.0,-0.301271,-0.247622
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,Decade_1990s,-0.240782,0.016133,0.0,-0.272552,-0.209013
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,Decade_2000s,-0.212904,0.015743,0.0,-0.243904,-0.181903
Harvard,Neg,Average of ratios,Any month (48 quarters),C,C. + decade fixed effects,268,0.460421,1.935487,Decade_2010s,-0.14273,0.02647,0.0,-0.194854,-0.090607
Harvard,Neg,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.129581,1.19676,const,0.517926,0.020558,0.0,0.477447,0.558406
Harvard,Neg,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.129581,1.19676,Recession,0.04171,0.036922,0.259644,-0.030991,0.11441
Harvard,Neg,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.129581,1.19676,Time_Trend,0.000126,0.000218,0.563858,-0.000303,0.000555
Harvard,Neg,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.129581,1.19676,Post1973,-0.066859,0.030645,0.030017,-0.1272,-0.006518
Harvard,Neg,Average of ratios,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.129581,1.19676,Recession_x_Post1973,-0.056969,0.039423,0.149622,-0.134594,0.020655
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,const,0.701877,0.014352,0.0,0.673614,0.73014
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Recession,0.000476,0.013618,0.972118,-0.026341,0.027294
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Decade_1950s,-0.126055,0.013967,0.0,-0.15356,-0.09855
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Decade_1960s,-0.221936,0.018996,0.0,-0.259343,-0.184528
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Decade_1970s,-0.248891,0.01501,0.0,-0.27845,-0.219332
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Decade_1980s,-0.277501,0.020872,0.0,-0.318604,-0.236399
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Decade_1990s,-0.244047,0.022529,0.0,-0.288411,-0.199683
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Decade_2000s,-0.215958,0.022449,0.0,-0.260166,-0.17175
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Decade_2010s,-0.1461,0.030722,3e-06,-0.206599,-0.0856
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Post1973,0.00482,0.016575,0.771439,-0.02782,0.03746
Harvard,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.460533,1.936568,Recession_x_Post1973,-0.00372,0.018371,0.839675,-0.039896,0.032456
Harvard,Pos,Pooled words,Majority of months (42 quarters),A,A. Recession only,268,0.001894,0.133211,const,2.20051,0.047542,0.0,2.106903,2.294117
Harvard,Pos,Pooled words,Majority of months (42 quarters),A,A. Recession only,268,0.001894,0.133211,Recession,-0.042285,0.106257,0.69099,-0.251497,0.166928
Harvard,Pos,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.460632,0.24279,const,1.777382,0.079622,0.0,1.62061,1.934154
Harvard,Pos,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.460632,0.24279,Recession,0.014056,0.076992,0.855281,-0.137539,0.16565
Harvard,Pos,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.460632,0.24279,Time_Trend,0.003103,0.000429,0.0,0.002258,0.003949
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,const,2.076488,0.055647,0.0,1.96691,2.186066
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Recession,0.007512,0.044302,0.865488,-0.079726,0.09475
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Decade_1950s,0.071581,0.057391,0.213437,-0.041432,0.184594
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Decade_1960s,-0.18528,0.094437,0.05084,-0.371242,0.000682
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Decade_1970s,-0.328665,0.066494,1e-06,-0.459603,-0.197728
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Decade_1980s,0.053161,0.071656,0.458825,-0.087941,0.194264
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Decade_1990s,0.286845,0.056598,1e-06,0.175394,0.398295
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Decade_2000s,0.566807,0.080198,0.0,0.408883,0.724731
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Decade_2010s,0.628422,0.068677,0.0,0.493186,0.763658
Harvard,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.488515,0.259747,const,1.754375,0.078268,0.0,1.600264,1.908486
Harvard,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.488515,0.259747,Recession,0.054737,0.147921,0.711647,-0.236523,0.345998
Harvard,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.488515,0.259747,Time_Trend,0.004261,0.000774,0.0,0.002737,0.005785
Harvard,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.488515,0.259747,Post1973,-0.213065,0.146757,0.147744,-0.502034,0.075904
Harvard,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.488515,0.259747,Recession_x_Post1973,-0.046466,0.161203,0.773388,-0.363878,0.270947
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,const,2.055284,0.051721,0.0,1.953432,2.157136
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Recession,0.064056,0.057466,0.26603,-0.049108,0.177221
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Decade_1950s,0.084303,0.05353,0.116516,-0.02111,0.189717
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Decade_1960s,-0.16973,0.088279,0.055627,-0.343572,0.004111
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Decade_1970s,-0.47841,0.065227,0.0,-0.606858,-0.349962
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Decade_1980s,-0.161276,0.086277,0.062722,-0.331176,0.008624
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Decade_1990s,0.069531,0.074157,0.349325,-0.076503,0.215564
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Decade_2000s,0.352946,0.092757,0.000177,0.170285,0.535606
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Decade_2010s,0.409381,0.083693,2e-06,0.24457,0.574193
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Post1973,0.240244,0.061167,0.00011,0.119792,0.360696
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,Recession_x_Post1973,-0.079562,0.079416,0.317367,-0.235952,0.076828
Harvard,Neg,Pooled words,Majority of months (42 quarters),A,A. Recession only,268,2.8e-05,0.535556,const,0.569635,0.014432,0.0,0.541221,0.59805
Harvard,Neg,Pooled words,Majority of months (42 quarters),A,A. Recession only,268,2.8e-05,0.535556,Recession,-0.001634,0.025838,0.949636,-0.052506,0.049239
Harvard,Neg,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.022591,0.548538,const,0.539808,0.029022,0.0,0.482664,0.596951
Harvard,Neg,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.022591,0.548538,Recession,0.002338,0.024562,0.924233,-0.046022,0.050699
Harvard,Neg,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.022591,0.548538,Time_Trend,0.000219,0.000214,0.306888,-0.000202,0.00064
Harvard,Neg,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.589879,1.376447,const,0.69097,0.028528,0.0,0.634793,0.747146
Harvard,Neg,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.589879,1.376447,Recession,0.005562,0.01379,0.687056,-0.021594,0.032717
Harvard,Neg,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.589879,1.376447,Decade_1950s,-0.047594,0.02681,0.077037,-0.100388,0.0052
